snm,addr,facilities,homepage,tel
인천아시아드주경기장,인천광역시 서구 봉수대로 806(연희동 378),"축구장,육상트랙",http://www.insiseol.or.kr/institution_guidance/asiad/introduction_info.asp,032-454-2014
연희크리켓경기장,인천광역시 서구 봉수대로 806(연희동 378),크리켓경기장,http://www.insiseol.or.kr/institution_guidance/asiad/introduction_info.asp,032-454-2014
옥련국제사격장,인천광역시 연수구 독배로 172번길 142(옥련동 646),사격경기장,http://www.icsports.or.kr/bbs/content.php?co_id=facility12,032-859-1061
선학국제빙상경기장,인천광역시 연수구 경원대로 526(선학동 426),"링크장(2면),컬링연습장(2면)",http://www.seonhakicerink.or.kr/,032-821-5723
문학경기장,인천광역시 남구 매소홀로 618(문학동 482),"제1종 공인육상경기장,천연잔디축구장",http://www.skwyverns.com/Wyverns/Munhak/use/main_stadium.asp,032-455-2677
문학야구장,인천광역시 남구 매소홀로 618(문학동 482),야구장,http://www.skwyverns.com/Wyverns/Munhak/use/ballpark.asp,032-455-2677
인천삼산월드체육관,인천광역시 부평구 체육관로 60(삼산동 458-1),"실내체육관,인조잔디축구장,농구장,수영장,헬스장,에어로빅장",http://www.insiseol.or.kr/institution_guidance/samsan/index.asp,032-500-4500
계산국민체육센터,인천광역시 계양구 주부토로 580(계산동 907-2),"수영장,헬스장,에어로빅,탁구장 등",http://www.insiseol.or.kr/institution_guidance/gyesan/index.asp,032-717-7600
도원체육관,인천광역시 중구 샛골로 41번길 10(도원동 12-155),"스포츠,문화행사,공공행사,공연이벤트 등",http://www.icsports.or.kr/bbs/content.php?co_id=facility2,032-887-7423
도원수영장,인천광역시 중구 샛골로 41번길 22(도원동 47),"수영장(50M(8코스)),헬스장",http://www.icsports.or.kr/bbs/content.php?co_id=facility,032-887-7430
올림픽기념국민생활관,인천광역시 남동구 구월로 251(구월체육공원 아래),"수영장(성인풀25m(6레인),유아풀),헬스장,체육관",http://www.icoly.or.kr/index.htm,032-468-8182
동춘롤러경기장,인천광역시 연수구 능허대로 499,"스피드 경기장,피겨 경기장,하키 경기장",http://www.icsports.or.kr/bbs/content.php?co_id=facility13,032-822-0167
가좌테니스장,인천광역시 서구 가좌로 11번길 7,"실외 하드코트(9면),클레이(4면),실내 하드코트(3면)",http://www.icsports.or.kr/bbs/content.php?co_id=facility13_1,032-574-7979
수봉궁도장(무덕정),인천광역시 남구 수봉로 95번길 32,145m 사대(3대),http://www.icsports.or.kr/bbs/content.php?co_id=facility13_2,
수봉양궁장,인천광역시 남구 수봉로 95번길 32,"양궁장,이동식 사대 95m(6개)",http://www.icsports.or.kr/bbs/content.php?co_id=facility13_2,
다목적하키경기장,인천광역시 남구 소성로 360(문학동388),필드하키장(1면),http://www.icsports.or.kr/bbs/content.php?co_id=facility13_3,
다목적정구경기장,인천광역시 남구 소성로 360(문학동388),정구장(6면),http://www.icsports.or.kr/bbs/content.php?co_id=facility13_3,
국제벨로드롬,인천광역시 계양구 봉오대로 855(서운동),사이클경기장(333.33M),http://www.insiseol.or.kr/institution_guidance/gyeyang/introduction_core.asp,032-550-3500
송도 LNG종합스포츠타운,인천광역시 연수구 인천신항대로 916(송도동379),"축구장(2면),풋살장(2면),야구장(2면),실내야구연습장",http://www.iclng.or.kr/,032-899-9011
LNG 야구장,인천광역시 연수구 인천신항대로 1190(송도동 346),야구장(6면),http://www.iclng.or.kr/,032-899-9011
인천축구전용경기장,인천광역시 중구 참외전로 246(도원동 7-1),축구장 1면,https://www.incheonutd.com/2018/club/stadium.php,032-880-5500
승기잔디구장,인천광역시 연수구 능허대로 484(동춘동 947) ,천연잔디구장,http://www.eco-i.or.kr/eco_reserve/reservation/information.asp,032-899-0200
