fhnm,tel,addr
 다인이비인후과병원,032-515-2325, 인천광역시 부평구 경원대로 1242
 제이케이(JK)위드미의원,032-513-2252, 인천광역시 부평구 부평대로 90
 부평힘찬병원,1899-2552, 인천광역시 부평구 장제로 78
 내추럴치과의원,032-523-2080, 인천광역시 부평구 부평대로 75
 인천제일의원,032-502-6002, 인천광역시 부평구 일신로 8
 부평우리치과의원,032-529-2875, 인천광역시 부평구 부평대로 16
 부평포샤르치과의원,032-362-2896, 인천광역시 부평구 부평대로 70
 부평세림병원,1899-9555, 인천광역시 부평구 부평대로 175
 (의) 인성의료재단 한림병원,032-540-9114, 인천광역시 계양구 장제로 722
 메디플렉스 세종병원,032-240-8000, 인천광역시 계양구 계양문화로 20
 더드림병원,032-282-7575, 인천광역시 계양구 계양대로 123
 인천마디병원,1644-8344, 인천광역시 계양구 계양대로 204
 인천하이병원,1666-1675, 인천광역시 계양구 경명대로 1102
 클린업피부과의원,032-569-7590, 인천광역시 서구 중봉대로 610
 청라여성병원,032-716-6000, 인천광역시 서구 중봉대로 602
 (의) 루가의료재단 나은병원,032-584-0114, 인천광역시 서구 원적로 23
 가톨릭관동대학교 국제성모병원,1600-8291, 인천광역시 서구 심곡로100번길 25
 검단탑병원,032-590-0114, 인천광역시 서구 청마로19번길 5
 청라국제병원,032-577-8275, 인천광역시 서구 청라에메랄드로102번길 8
 서울경희한의원,032-563-9803, 인천광역시 서구 청라커낼로260번길 7-9
 조은내일치과병원,032-564-3500, 인천광역시 서구 승학로 250
